ts,device,co2,temp,rh,rssi
1770173893279,dev01,700,25,50,
1770175018401,dev01,700,25,50,
1770175021349,dev01,700,25,50,
1770175024012,dev01,700,25,50,
1770175026688,dev01,700,25,50,
1770175029788,dev01,700,25,50,
1770175076453,dev01,700,25,50,
1770175081725,dev01,700,25,50,
1770175350583,dev01,1,25,50,
1770175350661,dev01,2,25,50,
1770175350753,dev01,3,25,50,
1770175350842,dev01,4,25,50,
1770175350939,dev01,5,25,50,
1770175351034,dev01,6,25,50,
1770175351153,dev01,7,25,50,
1770175351245,dev01,8,25,50,
1770175351329,dev01,9,25,50,
1770175351417,dev01,10,25,50,
1770175464595,dev01,1,25,50,
1770175464717,dev01,2,25,50,
1770175464864,dev01,3,25,50,
1770175465057,dev01,4,25,50,
1770175465224,dev01,5,25,50,
1770175465373,dev01,6,25,50,
1770175465527,dev01,7,25,50,
1770175465644,dev01,8,25,50,
1770175465802,dev01,9,25,50,
1770175465957,dev01,10,25,50,
1770175466097,dev01,11,25,50,
1770175466219,dev01,12,25,50,
1770175466377,dev01,13,25,50,
1770175466517,dev01,14,25,50,
1770175466621,dev01,15,25,50,
1770175466770,dev01,16,25,50,
1770175466811,dev01,17,25,50,
1770175466852,dev01,18,25,50,
1770175466899,dev01,19,25,50,
1770175466948,dev01,20,25,50,
1770175466991,dev01,21,25,50,
1770175467035,dev01,22,25,50,
1770175467079,dev01,23,25,50,
1770175467121,dev01,24,25,50,
1770175467165,dev01,25,25,50,
1770175467206,dev01,26,25,50,
1770175467383,dev01,27,25,50,
1770175467424,dev01,28,25,50,
1770175467455,dev01,29,25,50,
1770175467485,dev01,30,25,50,
1770175467516,dev01,31,25,50,
1770175467552,dev01,32,25,50,
1770175467588,dev01,33,25,50,
1770175467623,dev01,34,25,50,
1770175467663,dev01,35,25,50,
1770175467724,dev01,36,25,50,
1770175467783,dev01,37,25,50,
1770175467857,dev01,38,25,50,
1770175467915,dev01,39,25,50,
1770175467980,dev01,40,25,50,
1770175468136,dev01,41,25,50,
1770175468198,dev01,42,25,50,
1770175468249,dev01,43,25,50,
1770175468293,dev01,44,25,50,
1770175468343,dev01,45,25,50,
1770175468390,dev01,46,25,50,
1770175468431,dev01,47,25,50,
1770175468476,dev01,48,25,50,
1770175468519,dev01,49,25,50,
1770175468566,dev01,50,25,50,
1770175468605,dev01,51,25,50,
1770175468660,dev01,52,25,50,
1770175468721,dev01,53,25,50,
1770175468793,dev01,54,25,50,
1770175468867,dev01,55,25,50,
1770175468929,dev01,56,25,50,
1770175468991,dev01,57,25,50,
1770175469039,dev01,58,25,50,
1770175469084,dev01,59,25,50,
1770175469128,dev01,60,25,50,
1770175469189,dev01,61,25,50,
1770175469266,dev01,62,25,50,
1770175469326,dev01,63,25,50,
1770175469379,dev01,64,25,50,
1770175469421,dev01,65,25,50,
1770175469465,dev01,66,25,50,
1770175469504,dev01,67,25,50,
1770175469550,dev01,68,25,50,
1770175469594,dev01,69,25,50,
1770175469635,dev01,70,25,50,
1770175469689,dev01,71,25,50,
1770175469755,dev01,72,25,50,
1770175469825,dev01,73,25,50,
1770175469892,dev01,74,25,50,
1770175469956,dev01,75,25,50,
1770175470012,dev01,76,25,50,
1770175470064,dev01,77,25,50,
1770175470107,dev01,78,25,50,
1770175470148,dev01,79,25,50,
1770175470206,dev01,80,25,50,
1770175470266,dev01,81,25,50,
1770175470330,dev01,82,25,50,
1770175470387,dev01,83,25,50,
1770175470437,dev01,84,25,50,
1770175470483,dev01,85,25,50,
1770175470530,dev01,86,25,50,
1770175470575,dev01,87,25,50,
1770175470620,dev01,88,25,50,
1770175470660,dev01,89,25,50,
1770175470723,dev01,90,25,50,
1770175470786,dev01,91,25,50,
1770175470849,dev01,92,25,50,
1770175470905,dev01,93,25,50,
1770175470965,dev01,94,25,50,
1770175471030,dev01,95,25,50,
1770175471080,dev01,96,25,50,
1770175471124,dev01,97,25,50,
1770175471162,dev01,98,25,50,
1770175471217,dev01,99,25,50,
1770175471280,dev01,100,25,50,
1770175471338,dev01,101,25,50,
1770175471392,dev01,102,25,50,
1770175471438,dev01,103,25,50,
1770175471487,dev01,104,25,50,
1770175471529,dev01,105,25,50,
1770175471572,dev01,106,25,50,
1770175471619,dev01,107,25,50,
1770175471663,dev01,108,25,50,
1770175471725,dev01,109,25,50,
1770175471794,dev01,110,25,50,
1770175471861,dev01,111,25,50,
1770175471925,dev01,112,25,50,
1770175471984,dev01,113,25,50,
1770175472034,dev01,114,25,50,
1770175472071,dev01,115,25,50,
1770175472113,dev01,116,25,50,
1770175472155,dev01,117,25,50,
1770175472215,dev01,118,25,50,
1770175472268,dev01,119,25,50,
1770175472322,dev01,120,25,50,
1770175472368,dev01,121,25,50,
1770175472416,dev01,122,25,50,
1770175472465,dev01,123,25,50,
1770175472510,dev01,124,25,50,
1770175472551,dev01,125,25,50,
1770175472596,dev01,126,25,50,
1770175472644,dev01,127,25,50,
1770175472699,dev01,128,25,50,
1770175472767,dev01,129,25,50,
1770175472838,dev01,130,25,50,
1770175472900,dev01,131,25,50,
1770175472962,dev01,132,25,50,
1770175473013,dev01,133,25,50,
1770175473065,dev01,134,25,50,
1770175473106,dev01,135,25,50,
1770175473150,dev01,136,25,50,
1770175473216,dev01,137,25,50,
1770175473286,dev01,138,25,50,
1770175473340,dev01,139,25,50,
1770175473389,dev01,140,25,50,
1770175473442,dev01,141,25,50,
1770175473486,dev01,142,25,50,
1770175473530,dev01,143,25,50,
1770175473573,dev01,144,25,50,
1770175473618,dev01,145,25,50,
1770175473663,dev01,146,25,50,
1770175473727,dev01,147,25,50,
1770175473795,dev01,148,25,50,
1770175473863,dev01,149,25,50,
1770175473923,dev01,150,25,50,
1770175473977,dev01,151,25,50,
1770175474126,dev01,152,25,50,
1770175474161,dev01,153,25,50,
1770175474199,dev01,154,25,50,
1770175474252,dev01,155,25,50,
1770175474312,dev01,156,25,50,
1770175474366,dev01,157,25,50,
1770175474418,dev01,158,25,50,
1770175474459,dev01,159,25,50,
1770175474501,dev01,160,25,50,
1770175474539,dev01,161,25,50,
1770175474584,dev01,162,25,50,
1770175474626,dev01,163,25,50,
1770175474683,dev01,164,25,50,
1770175474743,dev01,165,25,50,
1770175474812,dev01,166,25,50,
1770175474871,dev01,167,25,50,
1770175474919,dev01,168,25,50,
1770175474967,dev01,169,25,50,
1770175475018,dev01,170,25,50,
1770175475057,dev01,171,25,50,
1770175475096,dev01,172,25,50,
1770175475138,dev01,173,25,50,
1770175475181,dev01,174,25,50,
1770175475239,dev01,175,25,50,
1770175475301,dev01,176,25,50,
